Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,55.619999,56.119999,55.450001,56.099998,20.385118,1081700
2003-01-03,56.669998,56.900002,56.549999,56.770000,20.628584,1114900
2003-01-06,56.680000,57.349998,56.660000,57.330002,20.832073,2100600
2003-01-07,56.590000,56.740002,56.230000,56.400002,20.494144,1609100
2003-01-08,56.310001,56.400002,56.099998,56.200001,20.421457,889000
2003-01-09,56.400002,56.700001,56.310001,56.650002,20.584982,1674900
2003-01-10,56.680000,56.900002,56.400002,56.619999,20.574074,1471400
2003-01-13,57.119999,57.240002,56.470001,56.639999,20.581345,1202700
2003-01-14,56.779999,56.910000,56.450001,56.700001,20.603151,1484100
2003-01-15,56.709999,56.720001,56.150002,56.279999,20.450529,1687700
2003-01-16,56.279999,56.400002,55.860001,56.189999,20.417822,1348500
2003-01-17,55.869999,56.060001,55.650002,55.680000,20.232515,1246400
2003-01-21,55.529999,55.529999,54.919998,55.029999,19.996321,2855000
2003-01-22,54.439999,54.689999,53.869999,54.139999,19.672913,2200300
2003-01-23,54.849998,54.849998,54.049999,54.380001,19.760128,2849200
2003-01-24,54.049999,54.049999,53.410000,53.450001,19.422190,1137700
2003-01-27,52.900002,53.099998,52.410000,52.720001,19.156923,1545900
2003-01-28,52.709999,52.919998,52.200001,52.849998,19.204168,1534800
2003-01-29,52.160000,52.389999,51.470001,52.380001,19.033382,2406000
2003-01-30,52.459999,52.730000,51.970001,52.049999,18.913471,1900900
2003-01-31,51.900002,53.740002,51.700001,53.700001,19.513037,3919600
2003-02-03,53.250000,53.470001,52.900002,53.299999,19.367682,1964200
2003-02-04,52.849998,52.939999,52.230000,52.500000,19.076988,1887700
2003-02-05,52.630001,53.060001,52.340000,52.520000,19.084253,2262600
2003-02-06,52.520000,52.650002,52.049999,52.119999,18.938904,1536500
2003-02-07,52.840000,53.049999,52.500000,52.549999,19.095154,1332200
2003-02-10,52.790001,52.799999,52.349998,52.590000,19.109695,1404600
2003-02-11,52.619999,52.770000,52.270000,52.430000,19.051546,1380700
2003-02-12,52.950001,53.119999,52.770000,52.869999,19.211435,1995100
2003-02-13,53.439999,53.529999,53.000000,53.410000,19.407656,1941900
2003-02-14,53.200001,53.549999,52.799999,53.439999,19.418550,1217400
2003-02-18,53.900002,54.480000,53.900002,54.240002,19.709265,827800
2003-02-19,54.540001,54.700001,54.220001,54.349998,19.749224,1239200
2003-02-20,54.209999,54.400002,53.820000,54.049999,19.640217,1346700
2003-02-21,53.980000,54.240002,53.709999,54.070000,19.647482,1176100
2003-02-24,54.070000,54.070000,53.470001,53.509998,19.443985,1046000
2003-02-25,52.900002,53.480000,52.630001,53.480000,19.433088,1695200
2003-02-26,52.919998,53.139999,52.799999,53.009998,19.262312,1328600
2003-02-27,53.090000,53.430000,52.790001,53.380001,19.396755,1019100
2003-02-28,53.700001,53.950001,53.570000,53.660000,19.498499,911300
2003-03-03,54.450001,54.500000,53.900002,53.950001,19.603876,1166900
2003-03-04,53.779999,53.779999,53.340000,53.490002,19.436731,774800
2003-03-05,53.590000,53.740002,53.299999,53.730000,19.523939,878600
2003-03-06,52.939999,53.299999,52.619999,52.759998,19.171461,1289100
2003-03-07,52.759998,53.259998,52.680000,53.049999,19.276840,3174800
2003-03-10,52.650002,52.790001,51.950001,51.959999,18.880768,2120300
2003-03-11,52.169998,52.790001,52.169998,52.389999,19.037024,3327800
2003-03-12,51.860001,52.349998,51.520000,52.349998,19.022480,2448800
2003-03-13,52.750000,53.580002,52.599998,53.340000,19.382214,1835500
2003-03-14,53.490002,53.580002,52.830002,53.049999,19.276840,1984500
2003-03-17,53.130001,54.860001,53.060001,54.290001,19.727421,2602300
2003-03-18,54.529999,54.650002,54.150002,54.509998,19.807362,3163500
2003-03-19,54.000000,54.259998,53.000000,53.500000,20.106520,5081500
2003-03-20,53.490002,53.580002,53.049999,53.500000,20.106520,4191300
2003-03-21,53.790001,54.290001,53.500000,54.130001,20.343287,6583500
2003-03-24,53.110001,53.380001,52.619999,52.799999,19.843445,6032800
2003-03-25,52.610001,52.980000,52.299999,52.689999,19.802105,3544900
2003-03-26,53.040001,53.169998,52.570000,52.820000,19.850962,4668600
2003-03-27,52.509998,52.520000,51.830002,51.970001,19.531517,6794000
2003-03-28,52.509998,52.540001,50.799999,51.349998,19.298498,14814700
2003-03-31,51.509998,51.680000,50.700001,51.119999,19.212057,5352900
2003-04-01,51.669998,52.189999,51.599998,52.139999,19.595407,3025600
2003-04-02,52.930000,53.139999,52.759998,53.009998,19.922365,3300600
2003-04-03,53.060001,53.119999,52.630001,52.810001,19.847206,2802800
2003-04-04,52.880001,53.150002,52.770000,52.910000,19.884785,1401200
2003-04-07,54.119999,54.200001,53.500000,53.549999,20.125313,2383900
2003-04-08,53.799999,53.830002,53.200001,53.419998,20.076458,3487400
2003-04-09,53.369999,53.639999,52.750000,52.750000,19.824650,3280300
2003-04-10,53.139999,53.230000,52.700001,53.000000,19.918613,3962100
2003-04-11,53.340000,53.400002,52.669998,52.950001,19.899822,914800
2003-04-14,53.020000,53.209999,52.849998,53.200001,19.993780,1454800
2003-04-15,53.330002,53.509998,53.200001,53.439999,20.083967,2468800
2003-04-16,53.680000,53.849998,53.430000,53.500000,20.106520,1721400
2003-04-17,53.619999,53.889999,52.860001,53.430000,20.080217,1613300
2003-04-21,53.360001,53.500000,53.119999,53.290001,20.027596,993000
2003-04-22,53.299999,53.990002,53.279999,53.970001,20.283152,2076100
2003-04-23,53.619999,53.650002,53.070000,53.389999,20.065182,2259200
2003-04-24,52.740002,52.919998,52.150002,52.500000,19.730700,1652700
2003-04-25,51.639999,51.820000,51.419998,51.549999,19.373674,2190500
2003-04-28,52.779999,53.180000,52.740002,53.070000,19.944910,2026800
2003-04-29,54.750000,54.950001,54.400002,54.730000,20.568785,3793900
2003-04-30,54.720001,54.970001,54.590000,54.689999,20.553757,2130800
2003-05-01,54.650002,54.689999,54.110001,54.480000,20.474831,2083100
2003-05-02,55.130001,55.790001,55.060001,55.790001,20.967154,1753500
2003-05-05,55.389999,55.529999,55.099998,55.099998,20.707840,1068500
2003-05-06,56.110001,56.599998,56.070000,56.259998,21.143791,2763400
2003-05-07,56.669998,56.880001,56.299999,56.400002,21.196404,1304200
2003-05-08,56.549999,56.799999,56.000000,56.150002,21.102449,1567400
2003-05-09,57.360001,57.480000,57.099998,57.400002,21.572226,1767900
2003-05-12,56.869999,57.310001,56.720001,57.220001,21.504574,965200
2003-05-13,56.790001,57.080002,56.619999,56.830002,21.358013,721500
2003-05-14,57.580002,57.619999,57.119999,57.209999,21.500822,694700
2003-05-15,57.900002,57.980000,57.560001,57.770000,21.711283,1020600
2003-05-16,57.820000,58.060001,57.580002,57.750000,21.703764,1102200
2003-05-19,57.290001,57.349998,56.610001,56.650002,21.290371,1481900
2003-05-20,57.299999,57.500000,56.980000,57.200001,21.497063,1517500
2003-05-21,57.029999,57.240002,56.790001,57.060001,21.444452,729400
2003-05-22,57.349998,57.650002,57.279999,57.650002,21.666183,1093500
2003-05-23,57.970001,58.139999,57.720001,57.919998,21.767658,837300
2003-05-27,58.450001,59.209999,58.410000,59.080002,22.203609,1603600
2003-05-28,59.619999,59.970001,59.520000,59.650002,22.417835,3653700
2003-05-29,60.000000,60.279999,59.169998,59.480000,22.353937,7165800
2003-05-30,59.340000,59.650002,59.060001,59.270000,22.275023,3400900
2003-06-02,60.000000,60.150002,59.630001,59.720001,22.444141,1673100
2003-06-03,59.820000,60.020000,59.250000,59.610001,22.402798,864600
2003-06-04,59.799999,60.299999,59.750000,59.919998,22.519295,1761100
2003-06-05,60.279999,60.599998,60.139999,60.470001,22.726015,920100
2003-06-06,61.090000,61.439999,60.549999,60.820000,22.857536,632200
2003-06-09,60.180000,60.380001,59.750000,60.029999,22.560642,1533400
2003-06-10,60.200001,60.299999,59.549999,59.889999,22.508022,874600
2003-06-11,60.200001,60.730000,60.060001,60.570000,22.763592,1402300
2003-06-12,60.599998,61.080002,60.419998,61.049999,22.943985,591600
2003-06-13,61.330002,61.340000,60.470001,60.490002,22.733536,565300
2003-06-16,61.529999,61.990002,61.529999,61.990002,23.297262,676000
2003-06-17,62.549999,62.689999,62.320000,62.470001,23.477654,724700
2003-06-18,62.060001,62.209999,61.810001,62.000000,23.301022,662200
2003-06-19,61.369999,61.560001,60.950001,61.000000,22.925194,546800
2003-06-20,61.610001,61.660000,60.919998,61.020000,22.932701,601000
2003-06-23,60.730000,60.939999,60.150002,60.459999,22.722250,830700
2003-06-24,60.150002,60.500000,60.070000,60.400002,22.699694,530000
2003-06-25,59.840000,60.110001,59.500000,59.700001,22.436628,865900
2003-06-26,59.500000,59.900002,59.279999,59.750000,22.455420,448100
2003-06-27,59.770000,59.770000,59.090000,59.090000,22.207359,407800
2003-06-30,59.400002,59.630001,58.849998,59.110001,22.214888,1068700
2003-07-01,58.360001,58.689999,57.900002,58.639999,22.038250,1296100
2003-07-02,58.970001,59.520000,58.950001,59.400002,22.323866,517300
2003-07-03,58.869999,59.270000,58.830002,58.990002,22.169788,271800
2003-07-07,59.840000,60.599998,59.500000,60.330002,22.673389,750500
2003-07-08,60.349998,60.570000,60.000000,60.570000,22.763592,607900
2003-07-09,60.599998,60.660000,60.099998,60.250000,22.643312,432000
2003-07-10,59.650002,59.939999,59.599998,59.770000,22.462929,475400
2003-07-11,60.180000,60.490002,60.080002,60.480000,22.729757,384200
2003-07-14,61.200001,61.650002,61.080002,61.150002,22.981560,571300
2003-07-15,61.700001,61.700001,60.709999,60.709999,22.816202,566300
2003-07-16,60.820000,60.970001,60.119999,60.750000,22.831238,614400
2003-07-17,60.000000,60.240002,59.900002,60.119999,22.594473,724800
2003-07-18,60.700001,61.020000,60.330002,60.950001,22.906397,511200
2003-07-21,60.490002,60.520000,60.099998,60.380001,22.692179,466200
2003-07-22,60.270000,60.720001,60.070000,60.490002,22.733536,598500
2003-07-23,60.349998,60.360001,60.049999,60.250000,22.643312,523900
2003-07-24,60.540001,60.770000,60.119999,60.119999,22.594473,539100
2003-07-25,60.419998,60.990002,60.380001,60.849998,22.868805,467800
2003-07-28,61.570000,61.709999,61.029999,61.110001,22.966528,569600
2003-07-29,61.660000,61.759998,61.110001,61.130001,22.974047,492400
2003-07-30,61.130001,61.349998,60.919998,61.299999,23.037937,342100
2003-07-31,61.860001,62.139999,61.549999,61.549999,23.131884,585200
2003-08-01,61.660000,61.740002,61.209999,61.360001,23.060492,434100
2003-08-04,63.000000,63.080002,62.400002,62.980000,23.669327,1316500
2003-08-05,62.400002,62.459999,61.880001,61.880001,23.255917,726900
2003-08-06,61.669998,61.970001,61.400002,61.549999,23.131884,566800
2003-08-07,61.189999,61.959999,61.099998,61.919998,23.270941,642600
2003-08-08,62.189999,62.330002,61.849998,61.939999,23.278467,425900
2003-08-11,62.419998,62.650002,62.150002,62.480000,23.481422,543700
2003-08-12,63.049999,63.310001,62.849998,63.299999,23.789579,866100
2003-08-13,64.419998,64.550003,64.099998,64.279999,24.157887,1247700
2003-08-14,65.000000,65.629997,65.000000,65.300003,24.541235,1501900
2003-08-15,65.129997,65.279999,64.870003,65.279999,24.533718,257500
2003-08-18,65.070000,65.300003,64.800003,65.190002,24.499880,821000
2003-08-19,64.970001,65.040001,64.540001,65.019997,24.435997,445500
2003-08-20,63.630001,63.950001,63.310001,63.860001,24.451315,575800
2003-08-21,64.489998,64.529999,63.950001,64.300003,24.619793,563000
2003-08-22,64.339996,64.430000,63.750000,63.759998,24.413031,418300
2003-08-25,63.759998,63.770000,63.450001,63.709999,24.393881,492600
2003-08-26,63.639999,63.750000,63.230000,63.700001,24.390047,371900
2003-08-27,63.520000,63.980000,63.270000,63.799999,24.428329,529500
2003-08-28,64.050003,64.419998,63.860001,64.320000,24.627434,281100
2003-08-29,64.190002,64.379997,64.050003,64.320000,24.627434,292300
2003-09-02,64.370003,64.839996,64.220001,64.839996,24.826542,438500
2003-09-03,65.220001,65.360001,65.029999,65.099998,24.926100,433100
2003-09-04,64.989998,65.070000,64.500000,64.800003,24.811228,371400
2003-09-05,64.570000,65.050003,64.430000,64.599998,24.734657,437200
2003-09-08,65.349998,65.580002,65.260002,65.349998,25.021816,776500
2003-09-09,64.860001,65.139999,64.660004,64.800003,24.811228,242700
2003-09-10,64.330002,64.430000,64.019997,64.059998,24.527885,365200
2003-09-11,64.550003,64.919998,64.360001,64.529999,24.707861,184300
2003-09-12,64.839996,64.889999,64.440002,64.830002,24.822718,255900
2003-09-15,64.669998,64.669998,64.309998,64.379997,24.650414,222300
2003-09-16,64.620003,65.400002,64.620003,65.400002,25.040972,498400
2003-09-17,65.839996,65.949997,65.339996,65.400002,25.040972,383000
2003-09-18,66.709999,66.940002,65.760002,66.900002,25.615297,679400
2003-09-19,66.410004,66.489998,66.029999,66.250000,25.366423,329900
2003-09-22,66.180000,66.470001,65.790001,66.279999,25.377905,555200
2003-09-23,66.599998,66.760002,66.250000,66.550003,25.481289,704800
2003-09-24,68.000000,68.000000,67.099998,67.150002,25.711023,1000500
2003-09-25,67.720001,67.879997,67.199997,67.260002,25.753141,452800
2003-09-26,67.070000,67.190002,66.800003,67.000000,25.653595,331100
2003-09-29,66.900002,67.120003,66.750000,67.120003,25.699541,697800
2003-09-30,66.570000,66.570000,65.680000,66.000000,25.270697,496300
2003-10-01,66.790001,67.989998,66.790001,67.989998,26.032654,925500
2003-10-02,68.209999,69.320000,68.099998,68.949997,26.400219,882600
2003-10-03,69.500000,70.360001,69.440002,69.800003,26.725677,565900
2003-10-06,70.269997,70.750000,70.150002,70.480003,26.986032,404800
2003-10-07,70.370003,71.010002,70.220001,70.910004,27.150681,477500
2003-10-08,70.709999,70.730003,69.940002,70.139999,26.855865,565700
2003-10-09,70.980003,71.430000,70.570000,70.779999,27.100897,708800
2003-10-10,70.629997,70.989998,70.519997,70.839996,27.123884,235300
2003-10-13,71.129997,71.550003,70.980003,71.260002,27.284693,346000
2003-10-14,70.470001,71.099998,70.440002,71.070000,27.211937,490200
2003-10-15,71.860001,72.080002,71.570000,71.790001,27.487616,402300
2003-10-16,71.320000,71.870003,71.320000,71.750000,27.472319,537500
2003-10-17,71.160004,71.449997,70.690002,70.730003,27.081770,323400
2003-10-20,72.529999,72.849998,72.459999,72.820000,27.882004,739100
2003-10-21,73.660004,73.900002,73.459999,73.699997,28.218943,725500
2003-10-22,73.040001,73.300003,72.779999,72.830002,27.885834,504300
2003-10-23,71.239998,71.669998,70.989998,71.519997,27.384247,578100
2003-10-24,71.160004,71.660004,71.129997,71.379997,27.330645,358500
2003-10-27,71.900002,72.250000,71.370003,71.440002,27.353617,418300
2003-10-28,73.150002,74.080002,73.129997,74.080002,28.364443,641500
2003-10-29,74.379997,74.989998,74.379997,74.660004,28.586515,549800
2003-10-30,75.820000,75.930000,75.129997,75.230003,28.804760,701100
2003-10-31,74.800003,75.300003,74.739998,75.070000,28.743511,368600
2003-11-03,76.900002,77.080002,76.430000,76.760002,29.390579,510900
2003-11-04,76.180000,76.279999,75.750000,75.959999,29.084280,470700
2003-11-05,75.000000,75.220001,74.709999,75.099998,28.754992,551500
2003-11-06,74.879997,75.040001,74.510002,74.949997,28.697548,540900
2003-11-07,75.309998,76.129997,75.309998,75.709999,28.988554,335500
2003-11-10,75.849998,75.849998,75.169998,75.180000,28.785625,317100
2003-11-11,75.050003,75.389999,74.910004,75.139999,28.770311,304600
2003-11-12,75.190002,75.900002,75.190002,75.849998,29.042156,619400
2003-11-13,76.440002,76.900002,76.099998,76.900002,29.444191,613600
2003-11-14,76.599998,76.930000,75.669998,75.669998,28.973228,280500
2003-11-17,75.180000,75.440002,74.550003,75.080002,28.747324,381900
2003-11-18,75.919998,76.190002,75.019997,75.019997,28.724348,512600
2003-11-19,74.260002,74.589996,73.900002,74.500000,28.525261,501000
2003-11-20,73.199997,73.820000,72.800003,72.919998,27.920296,582900
2003-11-21,74.650002,74.980003,74.559998,74.820000,28.647776,430400
2003-11-24,75.589996,76.120003,75.589996,76.019997,29.107239,400900
2003-11-25,75.610001,75.970001,75.110001,75.730003,29.226894,551500
2003-11-26,75.650002,75.669998,75.250000,75.610001,29.180584,380500
2003-11-28,75.879997,76.180000,75.879997,76.070000,29.358107,248300
2003-12-01,77.000000,77.440002,76.410004,77.160004,29.778784,583300
2003-12-02,76.400002,76.489998,75.660004,76.000000,29.331091,429700
2003-12-03,76.320000,76.589996,76.199997,76.389999,29.481600,285800
2003-12-04,76.139999,76.139999,75.650002,75.750000,29.234615,348400
2003-12-05,75.199997,75.779999,75.040001,75.300003,29.060936,293800
2003-12-08,75.519997,75.980003,75.379997,75.980003,29.323380,292800
2003-12-09,76.709999,76.779999,76.019997,76.059998,29.354240,210500
2003-12-10,75.660004,75.660004,75.000000,75.419998,29.107246,325100
2003-12-11,75.699997,76.680000,75.639999,76.459999,29.508631,313400
2003-12-12,76.070000,76.739998,75.849998,76.639999,29.578087,247500
2003-12-15,76.629997,76.629997,76.050003,76.190002,29.404413,421500
2003-12-16,76.400002,76.510002,75.800003,76.470001,29.512466,391700
2003-12-17,76.459999,76.510002,75.779999,76.180000,29.400570,262100
2003-12-18,76.279999,77.150002,76.160004,77.129997,29.767199,334500
2003-12-19,77.269997,77.839996,77.110001,77.500000,29.909994,360800
2003-12-22,77.360001,77.900002,77.309998,77.900002,30.064369,227000
2003-12-23,78.010002,78.279999,77.919998,78.080002,30.133837,196600
2003-12-24,78.230003,78.500000,77.790001,78.389999,30.253479,64600
2003-12-26,78.199997,78.699997,78.050003,78.550003,30.315224,112500
2003-12-29,78.129997,78.349998,77.680000,78.300003,30.218746,418500
2003-12-30,78.489998,78.610001,78.110001,78.300003,30.218746,248000
2003-12-31,78.449997,79.099998,78.400002,78.820000,30.419428,177800
2004-01-02,79.410004,79.849998,79.230003,79.300003,30.604670,445700
2004-01-05,80.160004,80.449997,79.790001,80.279999,30.982904,519300
2004-01-06,80.650002,81.180000,80.500000,81.040001,31.276218,452100
2004-01-07,81.019997,81.470001,80.699997,81.370003,31.403578,654100
2004-01-08,81.889999,81.989998,81.699997,81.930000,31.619688,302300
2004-01-09,80.430000,81.430000,80.099998,80.669998,31.133411,923700
2004-01-12,80.559998,80.830002,80.019997,80.790001,31.179716,434000
2004-01-13,80.040001,80.040001,78.750000,79.010002,30.492769,902400
2004-01-14,79.260002,79.739998,79.139999,79.559998,30.705029,462400
2004-01-15,78.919998,79.099998,78.080002,78.529999,30.307514,453500
2004-01-16,77.570000,78.110001,77.500000,77.699997,29.987181,508900
2004-01-20,79.650002,79.800003,79.070000,79.550003,30.701164,858200
2004-01-21,79.559998,80.650002,79.500000,80.650002,31.125690,558600
2004-01-22,80.500000,80.500000,79.500000,79.779999,30.789925,261800
2004-01-23,79.220001,79.279999,78.760002,78.889999,30.446445,394000
2004-01-26,78.820000,79.800003,78.239998,78.900002,30.450304,350400
2004-01-27,78.180000,78.440002,78.000000,78.290001,30.214878,392700
2004-01-28,78.580002,78.849998,77.349998,77.349998,29.852116,327700
2004-01-29,77.599998,77.669998,77.000000,77.550003,29.929291,1068400
2004-01-30,77.610001,77.769997,77.250000,77.599998,29.948576,442500
2004-02-02,76.169998,76.449997,75.510002,75.949997,29.311790,626400
2004-02-03,76.699997,77.250000,76.639999,76.870003,29.666855,327300
2004-02-04,76.599998,76.769997,76.250000,76.379997,29.477745,318900
2004-02-05,77.000000,77.029999,76.680000,76.750000,29.620548,259800
2004-02-06,78.449997,79.019997,78.330002,78.779999,30.403990,426800
2004-02-09,80.180000,80.489998,79.989998,80.209999,30.955875,743100
2004-02-10,80.419998,80.519997,79.750000,79.900002,30.836245,342000
2004-02-11,79.900002,81.330002,79.629997,81.300003,31.376553,925700
2004-02-12,80.180000,80.529999,79.930000,80.040001,30.890274,280500
2004-02-13,81.379997,81.489998,80.830002,81.040001,31.276218,454600
2004-02-17,82.419998,82.830002,82.129997,82.489998,31.835793,378700
2004-02-18,81.769997,81.779999,81.050003,81.160004,31.322521,504000
2004-02-19,82.150002,82.900002,81.849998,82.029999,31.658276,435700
2004-02-20,81.959999,81.959999,80.680000,80.910004,31.226040,449000
2004-02-23,82.239998,82.300003,81.099998,81.279999,31.368837,377200
2004-02-24,81.589996,82.160004,81.589996,81.849998,31.588806,326500
2004-02-25,81.790001,81.889999,81.330002,81.500000,31.453739,330200
2004-02-26,81.290001,81.669998,80.930000,81.459999,31.438309,225100
2004-02-27,81.809998,82.110001,81.449997,81.750000,31.550224,242900
2004-03-01,80.790001,81.550003,80.750000,81.300003,31.376553,628300
