Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,54.250000,55.389999,53.849998,55.330002,31.590904,6483400
2003-01-03,56.000000,56.939999,56.000000,56.810001,32.435917,8743800
2003-01-06,56.560001,57.549999,56.360001,57.349998,32.744225,5920900
2003-01-07,57.099998,57.119999,55.900002,56.060001,32.007698,6527800
2003-01-08,56.060001,56.369999,55.450001,55.730000,31.819288,5548400
2003-01-09,56.369999,57.099998,55.919998,56.849998,32.458752,5949800
2003-01-10,56.849998,57.250000,56.330002,57.200001,32.658585,5190500
2003-01-13,57.200001,57.200001,55.759998,56.040001,31.996271,7579200
2003-01-14,55.599998,56.470001,55.590000,56.360001,32.178974,4987800
2003-01-15,56.599998,56.610001,54.869999,55.000000,31.402487,7758700
2003-01-16,55.700001,55.750000,54.160000,54.680000,31.219786,7760500
2003-01-17,54.689999,55.150002,54.529999,54.790001,31.282591,5628700
2003-01-21,55.299999,56.000000,53.799999,53.990002,30.825827,9805400
2003-01-22,53.990002,54.740002,53.430000,54.000000,30.831535,9650200
2003-01-23,54.450001,54.950001,54.250000,54.799999,31.288298,6783600
2003-01-24,54.810001,54.900002,53.169998,53.610001,30.608849,7866700
2003-01-27,53.049999,53.450001,51.700001,52.180000,29.792395,10544800
2003-01-28,52.799999,53.110001,51.740002,53.040001,30.283426,7595000
2003-01-29,52.250000,52.900002,51.799999,52.400002,29.918001,9095300
2003-01-30,52.270000,52.549999,51.540001,51.540001,29.426973,7733300
2003-01-31,52.099998,53.799999,51.750000,53.610001,30.608849,9962800
2003-02-03,53.500000,53.849998,52.959999,53.340000,30.454702,5852600
2003-02-04,52.509998,53.000000,51.610001,52.759998,30.123541,7022900
2003-02-05,52.759998,53.200001,52.070000,52.099998,29.746729,5935200
2003-02-06,52.110001,52.259998,51.380001,52.119999,29.758129,6356600
2003-02-07,51.700001,52.080002,51.330002,51.840000,29.598270,6270800
2003-02-10,51.410000,52.980000,51.230000,52.040001,29.712465,8070200
2003-02-11,52.490002,53.619999,51.779999,52.000000,29.689631,8016600
2003-02-12,51.799999,51.799999,50.000000,50.000000,28.547726,15589100
2003-02-13,49.990002,51.849998,49.099998,51.310001,29.416273,13309200
2003-02-14,51.310001,52.500000,51.200001,51.750000,29.668526,8432700
2003-02-18,53.000000,53.950001,52.599998,53.060001,30.419569,8027900
2003-02-19,53.009998,53.139999,52.200001,52.570000,30.138639,4490800
2003-02-20,53.099998,53.330002,51.599998,51.919998,29.765991,5525400
2003-02-21,52.480000,53.799999,52.060001,53.480000,30.660343,6473200
2003-02-24,53.490002,53.490002,52.410000,52.430000,30.058384,5483600
2003-02-25,51.860001,52.849998,51.349998,52.759998,30.247557,6165200
2003-02-26,52.759998,53.380001,51.820000,51.820000,29.708656,6069100
2003-02-27,51.990002,53.099998,51.799999,52.779999,30.259026,5478300
2003-02-28,52.529999,53.040001,52.110001,52.450001,30.069849,6438700
2003-03-03,53.160000,53.439999,52.250000,52.430000,30.058384,5654400
2003-03-04,52.439999,52.950001,51.680000,51.689999,29.634127,5474600
2003-03-05,51.520000,52.900002,51.500000,52.810001,30.276239,6676900
2003-03-06,52.599998,53.740002,52.299999,53.299999,30.557154,9287200
2003-03-07,52.549999,55.389999,52.520000,55.299999,31.703770,13278900
2003-03-10,54.549999,55.200001,53.950001,54.130001,31.032993,7114000
2003-03-11,54.509998,54.980000,53.959999,54.480000,31.233656,7362500
2003-03-12,54.500000,54.799999,54.090000,54.680000,31.348322,8918100
2003-03-13,54.680000,55.599998,54.230000,55.480000,31.806963,9637200
2003-03-14,55.660000,55.880001,54.799999,55.189999,31.640699,7588000
2003-03-17,54.450001,56.500000,54.400002,56.389999,32.328674,8218600
2003-03-18,56.389999,56.910000,56.080002,56.779999,32.552258,7218700
2003-03-19,56.840000,57.450001,56.009998,57.310001,32.856110,6828100
2003-03-20,57.169998,57.500000,56.500000,57.389999,32.901955,5865900
2003-03-21,58.180000,58.680000,57.380001,58.669998,33.635788,8689200
2003-03-24,57.099998,57.980000,56.650002,56.750000,32.535065,7233800
2003-03-25,56.500000,57.400002,56.029999,57.080002,32.724236,7645200
2003-03-26,57.090000,57.110001,56.490002,56.660000,32.483456,6640500
2003-03-27,56.000000,57.340000,55.700001,56.959999,32.655460,5517600
2003-03-28,56.000000,57.599998,56.000000,57.380001,32.896229,5706900
2003-03-31,56.750000,58.450001,56.750000,57.869999,33.177147,9597600
2003-04-01,57.869999,58.599998,57.680000,58.419998,33.492470,7793200
2003-04-02,58.270000,58.680000,57.779999,58.410000,33.486740,8450400
2003-04-03,57.919998,58.389999,57.240002,57.459999,32.942093,7423500
2003-04-04,57.509998,58.000000,57.349998,57.840000,33.159966,6748300
2003-04-07,57.840000,59.080002,57.200001,57.330002,32.867577,7225600
2003-04-08,57.580002,58.000000,57.200001,57.500000,32.965015,5420100
2003-04-09,57.020000,58.099998,57.020000,57.259998,32.827450,6111200
2003-04-10,57.720001,57.720001,56.709999,57.209999,32.798767,6612800
2003-04-11,57.720001,58.139999,57.330002,57.380001,32.896229,5898700
2003-04-14,57.389999,57.990002,57.250000,57.779999,33.125553,4927300
2003-04-15,56.500000,57.200001,55.500000,55.980000,32.093597,13151900
2003-04-16,55.980000,56.200001,53.950001,54.389999,31.182055,14857600
2003-04-17,54.500000,55.439999,54.500000,55.009998,31.537502,7654900
2003-04-21,55.520000,55.900002,55.040001,55.360001,31.738155,5406400
2003-04-22,54.750000,56.400002,54.720001,56.090000,32.156673,7359300
2003-04-23,56.200001,57.000000,56.049999,56.799999,32.563721,6474800
2003-04-24,57.410000,57.869999,56.380001,57.500000,32.965015,12304400
2003-04-25,57.500000,57.660000,55.799999,56.209999,32.225471,8366100
2003-04-28,56.299999,57.330002,56.200001,57.009998,32.684113,4361100
2003-04-29,56.849998,57.209999,56.500000,56.889999,32.615311,5867500
2003-04-30,56.340000,56.840000,56.169998,56.360001,32.311466,6948000
2003-05-01,56.360001,56.759998,55.509998,56.320000,32.288525,6119400
2003-05-02,55.950001,56.750000,55.549999,56.639999,32.471989,6287800
2003-05-05,56.259998,57.160000,56.259998,56.459999,32.368790,5830100
2003-05-06,56.709999,57.000000,56.400002,56.520000,32.403191,6477600
2003-05-07,56.520000,57.520000,56.450001,57.009998,32.684113,7731600
2003-05-08,57.009998,57.009998,56.049999,56.439999,32.357323,4605500
2003-05-09,55.599998,56.549999,55.599998,56.340000,32.299995,5803500
2003-05-12,56.090000,56.230000,55.549999,56.160000,32.196804,7878200
2003-05-13,56.000000,56.000000,55.150002,55.500000,31.818424,7999900
2003-05-14,55.869999,55.900002,55.009998,55.349998,31.732422,7506700
2003-05-15,55.490002,55.939999,55.240002,55.439999,31.784031,5033400
2003-05-16,55.209999,56.250000,55.209999,56.040001,32.267689,6511800
2003-05-19,55.700001,55.860001,54.000000,54.630001,31.455822,13579600
2003-05-20,54.820000,55.150002,53.330002,53.990002,31.087301,10068600
2003-05-21,54.099998,54.330002,53.180000,53.450001,30.776373,9953700
2003-05-22,53.450001,53.939999,53.220001,53.380001,30.736073,8354700
2003-05-23,53.270000,53.389999,52.599998,53.090000,30.569099,7360400
2003-05-27,52.700001,53.599998,52.549999,53.419998,30.759111,9297900
2003-05-28,53.700001,53.849998,53.230000,53.660000,30.897285,7836300
2003-05-29,53.910000,54.139999,53.220001,53.389999,30.741829,9358300
2003-05-30,53.549999,54.400002,53.349998,54.349998,31.294588,8080800
2003-06-02,54.349998,54.650002,53.130001,53.220001,30.643940,9658500
2003-06-03,53.220001,54.099998,53.220001,53.849998,31.006697,7575600
2003-06-04,53.980000,54.439999,53.400002,54.060001,31.127617,9262100
2003-06-05,52.500000,53.250000,51.630001,52.020000,29.952982,21248300
